JJ,NNP,VBD,CD,NNS,VBG,VB,NN,VBN,IN,MD,RB,WP$,VBZ,NNPS,RP,JJS,VBP,JJR,FW,RBR,CC,DT,UH,PRP,WDT,PDT,LS,``,WRB,RBS,WP,$,PRP$,SYM,sentence_count,word_count
46.0,88.0,11.0,1.0,42.0,15.0,32.0,106.0,18.0,6.0,2.0,17.0,0.0,13.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,742
65.0,84.0,18.0,3.0,39.0,16.0,21.0,94.0,15.0,7.0,3.0,10.0,0.0,5.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,634
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
55.0,82.0,11.0,1.0,37.0,21.0,31.0,105.0,17.0,4.0,2.0,27.0,0.0,6.0,0.0,0.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,736
35.0,93.0,16.0,4.0,42.0,13.0,14.0,64.0,11.0,1.0,0.0,15.0,0.0,3.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,583
35.0,106.0,12.0,0.0,27.0,15.0,27.0,73.0,10.0,12.0,4.0,14.0,0.0,7.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,593
56.0,156.0,25.0,2.0,59.0,22.0,22.0,98.0,13.0,4.0,1.0,12.0,0.0,3.0,11.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,794
64.0,64.0,5.0,7.0,48.0,6.0,26.0,86.0,19.0,2.0,1.0,21.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,672
111.0,158.0,24.0,17.0,70.0,26.0,30.0,157.0,18.0,9.0,4.0,22.0,0.0,10.0,10.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1105
55.0,77.0,19.0,15.0,40.0,17.0,16.0,87.0,12.0,3.0,0.0,14.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,578
56.0,71.0,4.0,3.0,41.0,18.0,28.0,100.0,8.0,2.0,1.0,11.0,0.0,7.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32,652
51.0,101.0,11.0,2.0,36.0,17.0,45.0,114.0,16.0,2.0,3.0,24.0,0.0,17.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38,849
88.0,154.0,28.0,13.0,91.0,29.0,20.0,148.0,19.0,9.0,1.0,22.0,0.0,5.0,24.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1086
73.0,194.0,34.0,0.0,63.0,25.0,49.0,144.0,19.0,6.0,6.0,20.0,0.0,14.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,1163
34.0,75.0,10.0,4.0,21.0,7.0,14.0,46.0,10.0,2.0,0.0,12.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,439
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
12.0,40.0,11.0,5.0,25.0,3.0,2.0,42.0,8.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,241
79.0,87.0,10.0,3.0,49.0,16.0,19.0,113.0,16.0,7.0,0.0,14.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,799
89.0,178.0,29.0,7.0,59.0,35.0,33.0,130.0,16.0,5.0,0.0,31.0,0.0,9.0,9.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1104
91.0,112.0,13.0,5.0,75.0,22.0,41.0,178.0,33.0,10.0,4.0,34.0,1.0,11.0,5.0,1.0,2.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,1242
24.0,51.0,18.0,0.0,34.0,10.0,14.0,57.0,25.0,0.0,5.0,9.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,481
69.0,99.0,19.0,9.0,69.0,22.0,15.0,95.0,11.0,5.0,5.0,12.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,737
27.0,31.0,18.0,2.0,22.0,7.0,12.0,33.0,10.0,1.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,310
28.0,39.0,18.0,1.0,24.0,3.0,6.0,57.0,3.0,2.0,2.0,5.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,333
78.0,119.0,28.0,5.0,74.0,22.0,23.0,111.0,17.0,4.0,1.0,22.0,0.0,7.0,4.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,914
32.0,44.0,12.0,3.0,15.0,3.0,6.0,44.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,287
55.0,98.0,11.0,3.0,31.0,13.0,28.0,89.0,11.0,12.0,3.0,23.0,0.0,8.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,715
84.0,183.0,41.0,2.0,86.0,27.0,34.0,142.0,21.0,16.0,9.0,26.0,0.0,7.0,6.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,1193
70.0,126.0,20.0,1.0,48.0,20.0,25.0,102.0,10.0,9.0,4.0,16.0,0.0,9.0,6.0,0.0,1.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,798
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9.0,21.0,3.0,0.0,11.0,7.0,3.0,15.0,4.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,131
101.0,143.0,33.0,5.0,72.0,25.0,34.0,154.0,25.0,6.0,10.0,29.0,0.0,13.0,9.0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,1177
23.0,39.0,3.0,1.0,29.0,9.0,6.0,34.0,6.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,244
50.0,110.0,6.0,3.0,45.0,40.0,16.0,97.0,11.0,5.0,4.0,24.0,0.0,14.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,752
40.0,112.0,19.0,5.0,37.0,22.0,24.0,118.0,15.0,8.0,4.0,16.0,0.0,6.0,7.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,745
127.0,202.0,62.0,2.0,94.0,30.0,45.0,248.0,36.0,6.0,8.0,37.0,0.0,17.0,5.0,0.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51,1531
56.0,73.0,19.0,2.0,63.0,10.0,21.0,92.0,25.0,5.0,4.0,17.0,0.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,670
19.0,32.0,7.0,1.0,21.0,1.0,13.0,27.0,3.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,284
24.0,42.0,4.0,0.0,23.0,4.0,15.0,26.0,5.0,1.0,1.0,10.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,264
23.0,38.0,10.0,2.0,18.0,5.0,7.0,47.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,289
53.0,97.0,5.0,2.0,32.0,16.0,42.0,91.0,9.0,5.0,4.0,14.0,0.0,9.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,710
38.0,106.0,6.0,7.0,34.0,19.0,21.0,95.0,19.0,3.0,1.0,26.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,717
89.0,207.0,38.0,8.0,77.0,28.0,34.0,155.0,15.0,7.0,11.0,16.0,0.0,2.0,6.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1180
62.0,50.0,12.0,4.0,57.0,5.0,14.0,91.0,27.0,3.0,8.0,13.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,620
32.0,63.0,11.0,4.0,26.0,4.0,16.0,41.0,6.0,2.0,5.0,9.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,414
61.0,78.0,16.0,2.0,53.0,17.0,17.0,93.0,20.0,10.0,1.0,18.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,689
60.0,127.0,7.0,3.0,43.0,19.0,20.0,83.0,6.0,4.0,1.0,20.0,0.0,7.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,690
51.0,100.0,1.0,7.0,36.0,16.0,48.0,87.0,9.0,6.0,3.0,20.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,713
16.0,36.0,14.0,5.0,19.0,9.0,2.0,37.0,6.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,251
50.0,51.0,7.0,9.0,51.0,17.0,16.0,68.0,14.0,9.0,3.0,16.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,581
111.0,104.0,29.0,8.0,83.0,40.0,27.0,153.0,26.0,12.0,4.0,24.0,0.0,6.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,1176
74.0,40.0,14.0,7.0,35.0,18.0,9.0,79.0,5.0,1.0,4.0,8.0,0.0,5.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,533
106.0,104.0,8.0,1.0,89.0,16.0,42.0,162.0,16.0,7.0,3.0,36.0,0.0,7.0,1.0,1.0,4.0,14.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,1212
14.0,33.0,4.0,0.0,13.0,9.0,5.0,23.0,3.0,3.0,2.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,186
9.0,41.0,5.0,0.0,16.0,5.0,8.0,18.0,5.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,185
57.0,115.0,14.0,5.0,52.0,29.0,39.0,98.0,22.0,11.0,9.0,21.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,881
56.0,101.0,30.0,0.0,48.0,17.0,24.0,95.0,10.0,5.0,6.0,19.0,0.0,5.0,4.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,814
118.0,132.0,11.0,8.0,62.0,20.0,41.0,192.0,16.0,8.0,3.0,29.0,0.0,15.0,1.0,0.0,0.0,14.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,1345
152.0,163.0,50.0,4.0,169.0,32.0,43.0,191.0,39.0,11.0,4.0,46.0,0.0,5.0,4.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66,1670
84.0,69.0,3.0,5.0,41.0,12.0,17.0,105.0,8.0,8.0,8.0,27.0,0.0,11.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,715
58.0,134.0,12.0,2.0,38.0,23.0,16.0,105.0,8.0,5.0,0.0,21.0,0.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,733
63.0,107.0,24.0,6.0,40.0,17.0,23.0,86.0,10.0,2.0,4.0,9.0,1.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31,659
52.0,93.0,20.0,2.0,40.0,14.0,32.0,70.0,15.0,6.0,9.0,10.0,0.0,9.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,700
134.0,208.0,30.0,6.0,146.0,40.0,66.0,204.0,44.0,12.0,6.0,46.0,0.0,8.0,6.0,0.0,0.0,18.0,10.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,1804
35.0,95.0,16.0,6.0,32.0,14.0,18.0,80.0,9.0,5.0,1.0,10.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,566
340.0,412.0,75.0,24.0,351.0,106.0,88.0,757.0,136.0,33.0,14.0,126.0,0.0,43.0,9.0,0.0,5.0,25.0,6.0,3.0,2.0,1.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,4669
57.0,77.0,11.0,7.0,37.0,17.0,23.0,82.0,16.0,6.0,2.0,17.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,685
161.0,329.0,74.0,14.0,140.0,30.0,88.0,214.0,30.0,4.0,8.0,46.0,0.0,18.0,22.0,0.0,2.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,2070
34.0,86.0,12.0,1.0,26.0,15.0,21.0,75.0,12.0,5.0,3.0,15.0,0.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,574
91.0,184.0,28.0,3.0,110.0,33.0,50.0,168.0,21.0,13.0,2.0,19.0,0.0,10.0,7.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1253
77.0,130.0,27.0,14.0,60.0,14.0,24.0,123.0,11.0,4.0,2.0,18.0,0.0,2.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,876
78.0,96.0,15.0,5.0,60.0,17.0,17.0,115.0,17.0,4.0,8.0,20.0,0.0,1.0,6.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,805
178.0,214.0,48.0,20.0,140.0,54.0,47.0,339.0,46.0,18.0,4.0,45.0,0.0,19.0,7.0,0.0,0.0,24.0,4.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,2156
41.0,83.0,9.0,3.0,24.0,17.0,49.0,107.0,9.0,3.0,6.0,33.0,0.0,11.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,739
244.0,480.0,100.0,26.0,198.0,54.0,116.0,368.0,44.0,8.0,12.0,66.0,0.0,24.0,14.0,2.0,0.0,8.0,10.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,3116
64.0,97.0,23.0,8.0,63.0,14.0,22.0,124.0,24.0,9.0,2.0,26.0,0.0,8.0,2.0,0.0,3.0,4.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55,883
50.0,131.0,12.0,6.0,40.0,19.0,28.0,88.0,16.0,10.0,1.0,16.0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,741
88.0,127.0,57.0,5.0,103.0,21.0,23.0,145.0,22.0,17.0,3.0,27.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,1093
63.0,81.0,15.0,3.0,49.0,18.0,25.0,87.0,15.0,3.0,4.0,35.0,0.0,8.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,687
